127.0.0.1, 2014-06-18 23:35:52, GET, /, HTTP/1.1, 303, 0.073000
127.0.0.1, 2014-06-18 23:35:54, GET, /welcome/default/index, HTTP/1.1, 200, 2.513000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-18 23:35:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
